*SHIP
**CLASS	UNITS	LCG IN USE	LCG REF PT	LCG + DIR	VCG IN USE	TCG IN USE	TCG + DIR	POSITION FORMAT
DMS	METRIC	N	AP	F	N	N	PORT	BAY-STACK-TIER
*SECTION
**STAF BAY	LEVEL	20 NAME	40 NAME	SL Hatch	SL ForeAft	LCG 20	LCG 40	LCG 45	LCG 48	STACK WT 20	STACK WT 40	STACK WT 45	STACK WT 48	MAX HEIGHT	PAIRED BAY	REEFER PLUGS	DOORS	ATHWARTSHIPS	BULKHEAD	BULKHEAD LCG	LCG 24	STACK WT 24
13	A	04	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1304	-
13	A	05	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1305	-
13	A	06	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1306	-
13	A	07	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1307	-
13	A	08	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1308	-
13	A	09	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1309	-
13	A	10	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1310	-
13	A	11	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1311	-
13	A	12	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1312	-
13	A	13	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1313	-
13	A	14	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1314	-
13	A	15	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1315	-
13	A	16	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1316	-
